pdv,cupom,pco,desconto,pcotot,descontotot,qtd,data_ins,hora,ts_referencia,data,produto,cod_loja
14798,168544,"1,05","5,8500000000000005","0,88","6,300000000000001",1.000,2019-12-23 23:33:03.987,23:06:31,2021-01-22 16:04:32.195,2019-12-23,3109861,94
14802,125099,"1,05","5,8500000000000005","0,88","6,300000000000001",1.000,2019-12-24 04:03:04.800,23:43:40,2021-01-22 16:04:32.195,2019-12-23,3109861,93
14792,237465,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:34:18,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14792,237465,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:34:23,2021-01-22 16:04:32.195,2019-12-23,3113746,83
15093,1993,"2,71","2,19","2,54","2,64",1.000,2019-12-23 18:51:02.850,18:32:11,2021-01-22 16:04:32.195,2019-12-23,3113732,89
15093,1887,"2,71","2,19","2,54","2,64",1.000,2019-12-23 18:51:02.850,18:31:03,2021-01-22 16:04:32.195,2019-12-23,3113732,91
15092,1910,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 15:41:02.960,15:31:51,2021-01-22 16:04:32.195,2019-12-23,2995858,111
14995,2706,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 16:03:04.687,14:50:41,2021-01-22 16:04:32.195,2019-12-23,3113746,108
14998,8107,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 15:33:04.703,14:19:50,2021-01-22 16:04:32.195,2019-12-23,3113746,97
14999,10365,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 18:51:02.850,17:31:23,2021-01-22 16:04:32.195,2019-12-23,3113746,99
15004,5856,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 18:51:02.850,17:39:15,2021-01-22 16:04:32.195,2019-12-23,3113746,99
14794,52160,"2,71","2,19","2,54","2,64",1.000,2019-12-23 16:23:02.520,16:08:26,2021-01-22 16:04:32.195,2019-12-23,3113746,96
14795,128586,"6,03","0,0","5,86","0,0",1.000,2019-12-23 20:21:02.327,19:49:15,2021-01-22 16:04:32.195,2019-12-23,3122537,100
14791,102901,"6,03","0,0","5,86","0,0",1.000,2019-12-23 20:31:02.577,19:58:13,2021-01-22 16:04:32.195,2019-12-23,3122537,100
14791,102901,"6,03","0,0","5,86","0,0",1.000,2019-12-23 20:31:02.577,19:58:14,2021-01-22 16:04:32.195,2019-12-23,3122537,100
14791,228999,"2,71","4,1899999999999995","2,54","4,64",1.000,2019-12-23 22:01:02.950,21:26:22,2021-01-22 16:04:32.195,2019-12-23,3122116,81
15090,1971,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 18:47:02.707,17:45:09,2021-01-22 16:04:32.195,2019-12-23,3129884,89
15098,1890,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 18:47:02.707,17:52:32,2021-01-22 16:04:32.195,2019-12-23,3129884,89
15092,1874,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 18:47:02.707,17:49:54,2021-01-22 16:04:32.195,2019-12-23,3129884,92
15093,1924,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 18:47:02.707,17:51:29,2021-01-22 16:04:32.195,2019-12-23,3129884,92
15297,185927,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 14:33:04.523,14:21:51,2021-01-22 16:04:32.195,2019-12-23,3113746,95
15299,26202,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 14:33:04.523,14:23:08,2021-01-22 16:04:32.195,2019-12-23,3113746,95
14993,130169,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 14:33:04.523,13:21:52,2021-01-22 16:04:32.195,2019-12-23,3113746,97
14791,136638,"1,06","3,8400000000000003","0,89","4,29",1.000,2019-12-23 11:21:02.120,11:03:05,2021-01-22 16:04:32.195,2019-12-23,3113746,83
15092,1832,"28,029999999999998","0,0","27,86","0,0",1.000,2019-12-23 19:45:02.913,19:13:32,2021-01-22 16:04:32.195,2019-12-23,3128393,84
15096,1827,"31,029999999999998","0,0","30,86","0,0",1.000,2019-12-23 18:47:02.707,17:50:06,2021-01-22 16:04:32.195,2019-12-23,3120346,91
15096,1858,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 19:03:04.833,18:48:03,2021-01-22 16:04:32.195,2019-12-23,3129884,106
15091,1880,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 19:11:02.630,18:58:09,2021-01-22 16:04:32.195,2019-12-23,3129884,106
15091,1868,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 19:11:02.630,17:56:58,2021-01-22 16:04:32.195,2019-12-23,3129884,109
14805,13110,"44,03","0,0","43,86","0,0",1.000,2019-12-23 19:11:02.630,18:40:42,2021-01-22 16:04:32.195,2019-12-23,2930257,94
14993,130187,"11,030000000000001","0,0","10,86","0,0",1.000,2019-12-23 15:33:04.703,13:55:13,2021-01-22 16:04:32.195,2019-12-23,2853142,97
14994,12439,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 18:51:02.850,17:32:47,2021-01-22 16:04:32.195,2019-12-23,3113746,99
14994,12442,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 18:51:02.850,17:37:42,2021-01-22 16:04:32.195,2019-12-23,3113746,99
14793,165479,"24,029999999999998","0,0","23,86","0,0",1.000,2019-12-23 17:53:02.847,17:17:33,2021-01-22 16:04:32.195,2019-12-23,3116780,100
15096,1794,"16,03","0,0","15,86","0,0",1.000,2019-12-23 18:51:02.850,18:07:53,2021-01-22 16:04:32.195,2019-12-23,3130035,85
14796,59975,"16,03","0,0","15,86","0,0",1.000,2019-12-23 09:53:02.913,09:38:01,2021-01-22 16:04:32.195,2019-12-23,3102305,100
15091,1943,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 20:15:01.990,20:00:52,2021-01-22 16:04:32.195,2019-12-23,3113746,91
